cohort,phs,bdchm_class,row_category,variable_file,pht,phv
ARIC,phs000280,Condition,Conditions,afib,pht004037,phv00203303
ARIC,phs000280,Condition,Conditions,afib,pht004038,phv00203306
ARIC,phs000280,Condition,Conditions,afib,pht004039,phv00203309
ARIC,phs000280,Condition,Conditions,afib,pht004040,phv00203312
ARIC,phs000280,Condition,Conditions,afib,pht004061,phv00204463
ARIC,phs000280,Condition,Conditions,afib,pht004102,phv00206790
ARIC,phs000280,Condition,Conditions,afib,pht004102,phv00206843
ARIC,phs000280,Condition,Conditions,afib,pht004102,phv00207019
ARIC,phs000280,Condition,Conditions,afib,pht004231,phv00215644
ARIC,phs000280,Condition,Conditions,afib,pht004232,phv00216061
ARIC,phs000280,Condition,Conditions,afib,pht004233,phv00216478
ARIC,phs000280,Condition,Conditions,afib,pht004234,phv00216895
ARIC,phs000280,Condition,Conditions,afib,pht006436,phv00295793
ARIC,phs000280,Condition,Conditions,afib,pht009479,phv00419916
ARIC,phs000280,Condition,Conditions,afib,pht012518,phv00507818
ARIC,phs000280,Condition,Conditions,afib,pht012839,phv00516826
ARIC,phs000280,Condition,Conditions,afib,pht012840,phv00516895
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_bld,pht012503,phv00507050
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_bld,pht004051,phv00203871
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_urine,pht012503,phv00506959
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_urine,pht006427,phv00295249
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_urine,pht006427,phv00295248
ARIC,phs000280,MeasurementObservation,Continuous variables,albumin_urine,pht006427,phv00295250
ARIC,phs000280,Condition,Conditions,angina,pht004047,phv00203789
ARIC,phs000280,Condition,Conditions,angina,pht004053,phv00203904
ARIC,phs000280,Condition,Conditions,angina,pht004063,phv00204724
ARIC,phs000280,Condition,Conditions,angina,pht004102,phv00206789
ARIC,phs000280,Condition,Conditions,angina,pht004102,phv00207018
ARIC,phs000280,Condition,Conditions,angina,pht004104,phv00207159
ARIC,phs000280,Condition,Conditions,angina,pht004106,phv00207199
ARIC,phs000280,Condition,Conditions,angina,pht004144,phv00208905
ARIC,phs000280,Condition,Conditions,angina,pht006416,phv00294727
ARIC,phs000280,Condition,Conditions,angina,pht006416,phv00294787
ARIC,phs000280,Condition,Conditions,asthma,pht004102,phv00206783
ARIC,phs000280,Condition,Conditions,asthma,pht004103,phv00207069
ARIC,phs000280,Condition,Conditions,asthma,pht004111,phv00207318
ARIC,phs000280,Condition,Conditions,asthma,pht004145,phv00208976
ARIC,phs000280,Condition,Conditions,asthma,pht004146,phv00209067
ARIC,phs000280,Condition,Conditions,asthma,pht004161,phv00209714
ARIC,phs000280,Condition,Conditions,asthma,pht004161,phv00209717
ARIC,phs000280,Condition,Conditions,asthma,pht006479,phv00298007
ARIC,phs000280,Condition,Conditions,asthma,pht006479,phv00298010
ARIC,phs000280,Condition,Conditions,asthma,pht009479,phv00419909
ARIC,phs000280,Condition,Conditions,asthma,pht012518,phv00507815
ARIC,phs000280,Condition,Conditions,asthma,pht012839,phv00516823
ARIC,phs000280,Condition,Conditions,asthma,pht012840,phv00516892
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht012835,phv00516590
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht004102,phv00206817
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht004102,phv00206855
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht004032,phv00203151
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht006467,phv00297562
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht006468,phv00511023
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht004035,phv00203193
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht004034,phv00203175
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht006469,phv00297646
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht006419,phv00294838
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_hgt,pht012855,phv00520006
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht004032,phv00203154
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht004033,phv00203166
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht004034,phv00203176
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht004035,phv00203187
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht006467,phv00297563
ARIC,phs000280,MeasurementObservation,Continuous variables,bdy_wgt,pht006468,phv00511024
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210290
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210291
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210281
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210282
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210284
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210285
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210286
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210287
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210288
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004192,phv00210289
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210316
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210317
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210307
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210308
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210310
ARIC,phs000280,MeasurementObservationSet,Continuous variables,blood_pressure,pht004193,phv00210311
